service_request_number;reported_date;service_request_summary;category;definition;follow_up_date;service_request_type;neighborhood
5675976;2022-04-28;CE-Junky Yard;Inspection-Junky Yard;Incompliance Violation order to move auto - Auto removed;2022-10-25;CE-Junky Yard;Parkway Village
5689326;2022-05-06;Grass need cuttinng and fence needs repairing;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-10-05;CE-Weeds Occupied Property;Parkway Village
5702820;2022-05-16;occupied property - high grass and weeds;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-11-01;CE-Weeds Occupied Property;Parkway Village
5708522;2022-05-19;Weeds Occupied House;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-10-21;CE-Weeds Occupied Property;Parkway Village
5714168;2022-05-24;COURT DATE 10/13/2022 @ 1:30PM. OCCUPIED HOUSE WITH HIGH GRASS.;Weeds;Case dismissed         Need further discussion;2022-10-12;CE-Weeds Occupied Property;Parkway Village
5720122;2022-05-27;COURT DATE 5/31/2023 @ 9:00AM. Junky front and back yards with open storage and trailer on grass.;Inspection-Junky Yard;Case dismissed         Need further discussion;2023-04-26;CE-Junky Yard;Parkway Village
5753920;2022-06-17;JUNKY CARPORT;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-08-03;CE-Junky Yard;Parkway Village
5754228;2022-06-18;car park in yard grass,weeds tall in front yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-08-04;CE-Junky Yard;Parkway Village
5758056;2022-06-22;COURT DATE 11/30/2022 @ 9:00AM. Junky front and back yard;Inspection-Junky Yard;Case dismissed         Need further discussion;2022-11-09;CE-Junky Yard;Parkway Village
5760368;2022-06-23;COURT DATE 12/08/2022 @ 1:30PM. junk piled in backyard , causing rodents;Inspection-Junky Yard;Case dismissed         Need further discussion;2022-09-08;CE-Junky Yard;Parkway Village
5760694;2022-06-23;OCH HIGH GRASS FT/BK;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-07-08;CE-Weeds Occupied Property;Parkway Village
5760374;2022-06-23;grass needs to be cut/ rodents, junk in backyard;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-07-08;CE-Weeds Occupied Property;Parkway Village
5763196;2022-06-24;parking on grass/junky yard/high grass;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-07-08;CE-Junky Yard;Parkway Village
5763164;2022-06-24;Dismissed on 8/18/2023. backyard need cut;Weeds;Case dismissed         Need further discussion;2023-03-29;CE-Weeds Occupied Property;Parkway Village
5765136;2022-06-27;CE-Junky Yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-07-12;CE-Junky Yard;Parkway Village
5765100;2022-06-27;CE-Junky Yard;Inspection-Junky Yard;V.O. Yard/Vehicle;2022-07-12;CE-Junky Yard;Parkway Village
5765458;2022-06-27;BACKYARD HAS HIGH GRASS AND OVERGROWN TREES;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-07-06;CE-Weeds Occupied Property;Parkway Village
5767742;2022-06-28;junky yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-07-11;CE-Junky Yard;Parkway Village
5772170;2022-06-30;high grass and weeds at a group home in a residential zone.;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-07-15;CE-Weeds Occupied Property;Parkway Village
5773424;2022-07-01;Over 100 Pallets stacked in the back yard causing rodents in the are and to the neighbors.  Mr. Leroy 901-691-7575;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-07-20;CE-Junky Yard;Parkway Village
5776210;2022-07-05;JUNKY FRONT YARD, FULL OF TRASH;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-07-21;CE-Junky Yard;Parkway Village
5776932;2022-07-05;Tires in driveway and in backyard and north side of duplex. Overgrowth in backyard and north side of duplex.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-10-21;CE-Junky Yard;Parkway Village
5777576;2022-07-06;Junky yards and side yard.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-07-18;CE-Junky Yard;Parkway Village
5777374;2022-07-06;Extreme junky back yard and back yard needs cutting.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-07-20;CE-Junky Yard;Parkway Village
5777324;2022-07-06;High grass and weeds Front and back yards.;Weeds;Closed Void;2022-08-23;CE-Weeds Occupied Property;Parkway Village
5824262;2022-07-26;COURT DATE SET 5-31-2023 @9:00 AM High grass and weeds in back yard along with debris.;Weeds;Case dismissed         Need further discussion;2023-04-26;CE-Weeds Occupied Property;Parkway Village
5921232;2022-09-30;INOPERABLE VEHICLE IN YARD AND CHATTELS;Inspection-Junky Yard;Closed Void;2023-05-27;CE-Junky Yard;Parkway Village
5931758;2022-10-11;COURT DATE 5/26/2023 @ 9:00AM. CE-Junky Yard;Inspection-Junky Yard;Case dismissed         Need further discussion;2023-04-28;CE-Junky Yard;Parkway Village
5933644;2022-10-12;Dismissed on 11/1/2023. CE-Junky Yard;Inspection-Junky Yard;Case dismissed         Need further discussion;2023-07-19;CE-Junky Yard;Parkway Village
5932464;2022-10-12;COURT DATE 5/24/2023 @ 9:00AM. Junky front yard and under carport.;Inspection-Junky Yard;Case dismissed         Need further discussion;2023-04-26;CE-Junky Yard;Parkway Village
5933718;2022-10-12;Dismissed on 9/20/2023. High Grass and Weeds;Weeds;Case dismissed         Need further discussion;2023-05-19;CE-Weeds Occupied Property;Parkway Village
5935098;2022-10-13;Dismissed on 6/21/2023 @ 9:00AM. CE-Junky Yard;Inspection-Junky Yard;Case dismissed         Need further discussion;2023-05-17;CE-Junky Yard;Parkway Village
5935126;2022-10-13;CE-Junky Yard;Inspection-Junky Yard;No Progress 2 on VO;2023-05-01;CE-Junky Yard;Parkway Village
5936814;2022-10-14;junky yard,,PARKING ON YARD;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-06-20;CE-Junky Yard;Parkway Village
5942874;2022-10-20;COURT DATE 7/12/2023 @ 9:00 AM. CE-Junky Yard;Inspection-Junky Yard;Court case continued;2023-05-03;CE-Junky Yard;Parkway Village
5975262;2022-11-24;Backyard Dump;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-05-07;CE-Junky Yard;Parkway Village
5985020;2022-12-06;COURT DATE 5/26/2023 @ 9:00AM. Trashy property under the carport;Inspection-Junky Yard;Case dismissed         Need further discussion;2023-04-28;CE-Junky Yard;Parkway Village
6030920;2023-01-11;Junky front and back yards;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-05-08;CE-Junky Yard;Parkway Village
6030934;2023-01-11;Junky front and back yards;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-05-08;CE-Junky Yard;Parkway Village
6033844;2023-01-12;CE-Junky Yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-05-06;CE-Junky Yard;Parkway Village
6056852;2023-01-30;junky yard;Inspection-Junky Yard;Closed, Other;2023-05-17;CE-Junky Yard;Parkway Village
6061752;2023-02-07;In Compliance on 8/10/2023 (Court Order). CE-Junky Yard;Inspection-Junky Yard;Case dismissed         Need further discussion;2023-06-07;CE-Junky Yard;Parkway Village
6061742;2023-02-07;Court Date Set  06/14/2024 @ 9:00AM. CE-Junky Yard;Inspection-Junky Yard;Court case continued;2023-06-07;CE-Junky Yard;Parkway Village
6081164;2023-02-24;CE-Junky Yard;Inspection-Junky Yard;No progress on V.O.;2023-09-13;CE-Junky Yard;Parkway Village
6081146;2023-02-24;Trashy property;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-05-06;CE-Junky Yard;Parkway Village
6085458;2023-02-28;In Compliance (Court Order) on 10/9/2023.  Weeds, trash, rubbish, and debris with severe overgrowth in backyard.;Weeds;Case dismissed         Need further discussion;2023-05-11;CE-Weeds Occupied Property;Parkway Village
6085462;2023-02-28;Junky back yard with vines growing on south and east sides of house.;Inspection-Junky Yard;Closed Void;2023-05-17;CE-Junky Yard;Parkway Village
6089644;2023-03-03;Backyard near rear property line  junk /;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-05-06;CE-Junky Yard;Parkway Village
6093220;2023-03-06;junky yards;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-05-06;CE-Junky Yard;Parkway Village
6097536;2023-03-08;Yard has been full since Monday. Raccoons have been in the yard. Please have stuff removed.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-04-19;CE-Junky Yard;Parkway Village
6099068;2023-03-09;COURT DATE 7/28/2023 @ 9:00AM. Junky front and back yards along with sidewalks and curbsides.;Inspection-Junky Yard;Case dismissed         Need further discussion;2023-06-15;CE-Junky Yard;Parkway Village
6130090;2023-03-28;Dismissed (Posting) on 12/01/2023. BACK YARD HIGH GRASS AND WEEDS CAUSING RODENTS;Weeds;Case dismissed         Need further discussion;2023-06-07;CE-Weeds Occupied Property;Parkway Village
6135660;2023-03-31;CE-Junky Yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-06-16;CE-Junky Yard;Parkway Village
6135654;2023-03-31;COURT DATE 01/10/2024 @ 9:00AM. CE-Junky Yard;Inspection-Junky Yard;Case dismissed         Need further discussion;2023-06-16;CE-Junky Yard;Parkway Village
6142538;2023-04-09;Hoarding different sorts of items, in backyard, sidewalk, and porch.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-04-16;CE-Junky Yard;Parkway Village
6280950;2023-07-03;occupied property high weeds and grass;Weeds;Case not justified;2024-05-11;CE-Weeds Occupied Property;Parkway Village
6301576;2023-07-13;COURT DATE SET 06/12/2024 @ 9:00AM. Junky yards and inoperable vehicles on property exterior.;Inspection-Junky Yard;Court case continued;2024-05-08;CE-Junky Yard;Parkway Village
6449784;2023-09-22;COURT DATE 7/12/2024 @ 9:00AM. junky yard;Inspection-Junky Yard;Summons issued;2024-07-11;CE-Junky Yard;Parkway Village
